# X	Y	Z	rgb
23.9308	11.2137	0.0304947	2893091
27.2658	9.4396	-1.18906	4146240
28.0366	10.9365	-0.288438	6973792
32.8363	13.0161	0.144116	3682857
21.8869	10.1723	0.367329	10132636
23.6932	9.25073	0.260982	11249569
58.4046	31.5575	-0.708461	11644843
32.9005	13.0456	-0.0652069	1841170
28.3008	11.1229	0.0165805	9605242
26.7029	10.3575	-0.31952	7763823
57.4526	31.368	-1.58638	3947062
23.6634	11.2769	0.146739	2039580
22.4177	10.6527	0.0787982	2499621
33.9233	13.4333	-0.257045	6447450
23.5592	11.0673	0.0326521	2302242
27.499	9.79699	-1.15374	5000528
23.754	11.2923	0.120297	2301469
24.1861	11.1454	-0.540075	9407361
22.6725	10.7722	0.0693528	2499621
57.4888	31.4444	-1.55134	2564893
25.6601	9.95184	-0.257897	8092788
24.9792	11.5213	-0.212343	11514020
22.9372	8.91203	0.0321955	6118744
26.9824	11.264	-1.2015	12369598
32.8962	15.6205	-1.49669	4342338
27.7134	11.544	-1.15369	5131854
30.4618	11.712	-1.32548	5396307
32.0327	11.9607	-2.80961	9868682
25.8707	10.0596	-0.227111	8092273
24.6018	11.3695	-0.168021	11316641
22.518	10.3744	-0.380384	9210752
34.3508	16.5893	-1.28507	3222571
29.846	11.0009	-1.35161	5198931
29.0575	13.737	-0.946457	4013370
29.5596	12.5922	-2.48218	8945516
29.9296	16.0949	-1.23662	5197395
26.9542	11.24	-1.15881	9935254
22.9123	10.5631	-0.360363	9474178
34.8812	16.9	-1.30346	4012339
26.6265	12.5542	-0.778424	3421233
26.4148	11.0191	-1.16576	12698560
42.4552	21.5653	-10.8505	6513243
34.8081	17.8447	-8.627	6776928
41.2375	8.23406	8.03576	9869982
61.3488	6.7884	17.2598	8553087
56.8471	10.5898	15.5299	5131854
58.6206	7.79521	16.1487	9210507
48.8195	1.12283	9.82301	13619411
57.3441	10.5689	15.8716	14474457
62.1817	6.40126	17.6484	13882318
41.4821	11.3376	9.0527	8159616
64.1197	6.90742	18.5481	10921633
39.5807	9.21035	11.3517	15328735
63.638	6.48776	18.8178	7369579
42.928	11.4667	9.41709	7501432
57.4469	8.19404	16.172	9277324
58.7839	9.05997	17.5933	5592405
60.1233	8.05066	16.7182	6776679
55.1764	9.58592	15.3352	15853279
64.3887	7.30757	18.7517	13882832
41.1785	9.59346	8.94581	9408399
54.0939	6.05559	12.0034	5000528
59.8976	3.4	16.788	6974569
37.4489	11.158	8.33711	10593957
42.1839	10.0697	9.23351	10856359
34.8963	9.37452	8.68957	7566455
58.1342	9.57898	17.42	13817814
59.2749	9.11191	17.7348	4013119
59.5216	7.98265	16.5116	5855323
56.6784	10.5698	15.4967	5131854
44.8026	9.83197	8.72219	10790566
62.6212	6.50636	17.8065	11974321
41.1046	8.21616	8.02725	9869982
61.1147	6.7744	17.1961	8553087
48.5805	1.11734	9.70413	16645887
64.0902	6.87976	18.5032	13355974
37.4528	8.42975	8.27545	5198161
63.9866	6.57209	18.8966	7172200
55.593	8.18231	12.0679	7105906
39.8654	9.31433	11.4073	16514040
47.5554	1.03839	9.08336	15396592
65.142	7.36741	18.953	12698558
59.7251	3.44745	16.7422	6711397
46.8746	13.6674	12.5737	9277327
54.4956	6.12136	12.0992	3947840
57.6297	8.26446	16.2119	10461598
42.9113	11.4958	9.4392	7830397
39.7479	9.14538	11.5495	3156513
61.0693	3.80648	17.2551	8618880
